"Professor","Quality","Difficulty","Class","Comments","Positve Sentiment Score","Label","","","","","","","","","","","","","","","","","","","","","",""
"Chang, Richard","4.0","4.0","CMSC202","His lectures are boring. Tests , projects and even some labs are tough. Its hard to get an A. Good at clearing doubts, and replying emails. Reading textbook will help understanding it better. 202 is rough so be prepared well in advance. DO NOT just depend on instructor","0.247524232749462","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chang, Richard","5.0","3.0","CMSC441","Explains things well, class is interesting and was a major part of what I learned. For Algorithms, he doesn't do midterms, just a handful of quizzes throughout the semester and a final at the end (which was pretty much 4 quizzes stapled together.)","0.366851455927788","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chang, Richard","4.0","3.0","CMSC104","Didn't use textbook. Was helpful somewhat but sometimes you were totally on your own but did have help from ta. Some quizzes were easy others were harder and final exam was ok.","0.426837513489284","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chang, Richard","1.5","3.0","CMSC104","This was my least favorite class of the semester. MAybe Im just not a computer science fan. I cant believe this is an introductory course. We had short quizzes he was lenient with grading but over all I still didnt like the class","0.226418587306815","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chang, Richard","1.0","5.0","PROG104","Junior in college and this is easily one of the worst professors I have ever had. Might be good at teaching upper level classes but not lower. Gives wayyy to much work and its harder than it should be on top of that trying to figure out my grade is impossible. Its like trying to debug a program in itself it makes no sense. keep it real truth hurts.","0.131869528767133","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chang, Richard","1.5","4.0","PROG104","terrible at an entry level class. way to much work. very bad at introducing the subject.","0.175813618112125","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chettri, Samir","1.5","5.0","CMSC461","Doesn't show much interest in the students. He seems to be just there to collect a paycheck. 15+ minutes late to class every day. Didn't show up at least once without any warning or even a mention of it the next day of class. He doesn't clearly explain what will be on exams which are very hard. Awful at answering student questions.","0.183017335177229","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chettri, Samir","3.0","5.0","CMPE320","Teaches directly out of textbook, gives extremely difficult MATLAB projects with holes and typos, exams are difficult as well and he refuses to let you know what is on them, not helpful when asking questions. Can be a nice guy when just talking casually. Painful experience but in the end he graded with a massive curve.","0.388886396550591","neg","","","","","","","","","","","","","","","","","","","","","",""
"Choa, Fow-Sen","1.5","5.0","CMPE314","He knows his stuff but can't teach worth a damn. He can't explain anything very well or at all so don't bother asking questions. Pretty much teach yourself from the book. He is useless.","0.290152325787482","neg","","","","","","","","","","","","","","","","","","","","","",""
"Choa, Fow-Sen","1.0","5.0","CMPE306","Terrible, terrible, teacher. Makes this class much harder than it has to be. He is not clear in his explanations and reads straight from slides. When he does write on the board its illegible. This class will make you hate computer engineering. Based on my experience in this class, I switched majors. Wait and take it with LeBerge","0.357799727870785","neg","","","","","","","","","","","","","","","","","","","","","","Yesha, Yaacov"
"Choa, Fow-Sen","1.5","4.0","CMPE306","Very long and boring lectures. Bother your TA for help. Definitely study the homework before tests. Just about all his test problems were straight from the homework. Since he's here for the research he doesn't really care about the grades, seems like most of us got B's even with how bad we did on the tests.","0.121369833328936","neg","","","","","","","","","","","","","","","","","","","","","","2.117647059"
"Choa, Fow-Sen","2.5","5.0","CMPE306","Choa is like most grad. profs who get assigned this course: not very helpful. Very nice guy, though. This is basic circuit theory so it doesn't much matter. Homeworks are extremely hard and time consuming; exams are killer but he puts some HW problems on them. Choa curves so study your ass off and do good on labs & HW and you can swing a B.","0.363915663611998","neg","","","","","","","","","","","","","","","","","","","","","","2.117647059"
"Evans, Sue","4.5","1.0","CMSC201","Lectures were a little boring as she often read directly off the powerpoint (but you could just read them on your own and not go). Labs are crucial because they prepare you for the homework. Overall I thought it was very easy (though I am a CMSC major), but the final project is considerably more difficult than anything else in the class.","0.320244914688151","neg","","","","","","","","","","","","","","","","","","","","","","0.308458152"
"Evans, Sue","4.5","1.0","CMSC201","As others have said, you don't need to go to lecture, just read the slides online and show up for labs. Homeworks are pretty easy, the last project is a lot harder than anything else in the course but still not too bad.","0.308380534345468","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","3.0","3.0","CMSC201","Her class is Death by PowerPoint (HTML Slidy). You could easily skip the lecture and just show up for the labs and exams; a lot of people did. Doesn't allow basic CS flow control stuff like &quot;break&quot; and &quot;continue&quot; in assignments. Final project was too abstract with relation to what was taught. Graders &quot;nickel and dime&quot; assignments. Rigid style.","0.454211858903608","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","1.5","1.0","CMSC201","This teacher is terrible if you really want to learn. She confesses that she does not know that material until the week of class. Her lectures consist of her reading word for word off the slides which are online anyways, so going to class is a waste of time, but you can't just rely on the slides because she constantly has errors on them.","0.127386519844423","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","2.5","1.0","CMSC201","This teacher seems to know little to nothing on the subject matter. She reads directly off her powerpoints during lectures, and even states that she is still learning the material with us. The projects are all fairly easy if you know what youre doing, but her requirements in coding style are absurd and unnecessary.","0.363331886341825","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","4.5","3.0","CMSC201","Evans is awesome. She's very helpful when you go to office hours, and class really isn't too hard (though lecture can get boring). All the lecture notes r online. Just make sure you pace yourself n unless you REALLY know what you're doing don't leave the projects until the last day. Go to labs, they help with the projects, and do the review sheets.","0.22008633596951","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","3.0","2.0","CMSC201","I'm a minor with previous 3 years of Java and I didn't think the class was too bad. Tests are easy, projects are in C, but they were ok. You don't need the book and you might want to go to lab to do the projects. First time I fell asleep in a class though. Don't buy the book.","0.250888770316653","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","4.0","3.0","CMSC201","You don't need to attend class, you just need to understand how to read the lecture slides. She doesn't explain the projects very well, but if you shoot her an email, she will get back to you promptly and help you out. Exams are super easy. The easiest way to do well in this course is talk to someone who has taken it before.","0.417138172776846","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","1.0","4.0","CMSC201","Her lectures are pointless, you wont learn anything by going to class. Projects are a little tough but if you know what you're doing, you're fine. She doesn't curve grades even if you are on the border line, she doesn't care for her students no matter how extreme your situation is. Don't take her,especially if its a gateway course,you'll be screwed","0.38839452612069","neg","","","","","","","","","","","","","","","","","","","","","",""
"Evans, Sue","5.0","3.0","CMSC201","Very good professor. Class isn't difficult, but is challenging enough to keep you interested. Textbooks aren't really needed, mainly to look up coding nuances. Lecture notes online and clear. Evans is very open to assisting students, and was very helpful when my program had a bug that was actually the system's fault, not mine.","0.372446929311549","neg","","","","","","","","","","","","","","","","","","","","","",""
"Frey, Dennis","4.0","4.0","CMSC341","He's leaving, so maybe this review is irrelevant. Projects are more difficult or more time consuming than they appear. Start on day one. Literally. Exams were kind of difficult, but doable with more studying. Nice guy but not an easy class.","0.389817466619772","neg","","","","","","","","","","","","","","","","","","","","","",""
"Frey, Dennis","5.0","3.0","CMSC341","He is a really fair teacher. explain information really clearly. Projects are hard. 341 is a hard course he is already did pretty good. I am really enjoy in his class","0.39386274642135","neg","","","","","","","","","","","","","","","","","","","","","",""
"Frey, Dennis","4.5","2.0","CMSC202","Went into that class with 3 years of Java experience. I attended class anyways, but if you already know it you probably don't have to. He's a nice guy and very approachable. Tries to make projects interesting and they aren't too difficult. Go to labs.","0.468815858697897","neg","","","","","","","","","","","","","","","","","","","","","",""
"Frey, Dennis","1.0","5.0","CMSC202","Worst Teacher Ever, I don't know why he has such a high rating. He grades super hard, doesn't give partial credit. If something is out of 10 points you can either get a 0, 5, or 10. So that's a 0%, 50%, or 100%. So if you're not perfect, you fail. Avoid if possible.","0.175546810886975","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","3.5","5.0","IS450","Went through lecture slides too fast - too many slides to print & no computers allowed. Pop quizzes unreasonably difficult and unrelenting. Overly strict & seemed to care more about making things easier on himself. Participation credit policy was completely screwed up - only one point a day, and only from answering a question in class correctly.","0.297291410144029","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","2.0","5.0","IS450","Like the other people said, it is a very challenging class. Don't take many classes if you want to take his class so that you'll have enough time to read the book. Read the book thoroughly before and after the class. Pop quizzes and 3 difficult exams. Be prepared to be challenged if you choose this professor.","0.499065641131095","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","3.5","4.0","IS310","I found this class to be very hard. The person below probably knew a lot about computers before taking the course whereas I knew how to turn it on. I'm getting a B. We had a presentation that had NOTHING to do with the class, it would fit IS300 well, NOT 310, it was a waste of time. I learned a lot but for me it was hard to do great on his exams.","0.209585393048179","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","5.0","1.0","IS310","Who ever complains about him HAS TO BE STUPID enough not to do well in his class. He Understands that the course is hard and curves the grade. I would recommend anyone to take his class!! I would advise everyone to go to cls everyday, make sure u participate and read the text BOOK. That is guarantied a B. He like students who participate","0.237901331576506","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","1.0","5.0","IS310","What a jerk. I was 2 minutes late to class and he wouldn't let me take one of his pop quizzes. His tests are impossibly hard and his class is impossibly boring. Not a lot of work though if you are smart enough to learn the material on your own.","0.212177223479863","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","2.0","4.0","IS310","He's not stupid but he really doesn't know much about the IS field and teaches out dated info from old slides. He is a terrible teacher tho and can't explain the material or what he expects on any assignment. Tests are medium to hard depending on how much you read out of class, but he gives no grading feedback at all, and very boring. Avoid.","0.120937383386393","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","1.0","5.0","IFSM310","Bad. Gave us 10 papers + group projects and refused to grade ANY of it until after the final was over. Tests are crazy detailed and cover way too much. Never really knew what was going on until the very end. I got a B and i have no idea why. take it with somebody else","0.127431769690366","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","3.0","5.0","IS310","grading sucks, no idea wtf was going on with grades....thought was failing the class cuz his exams were ungodly hard. not a thing related to what was gone over in the class. pretty much teaches from the slides as well...def take other guy; redding over this guy if you can","0.151364360055516","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","4.0","2.0","IS310","Being another required class for the IS gateway it is relatively easy if you have even the slightest bit of knowledge about computer hardware and concepts. As long as the powerpoint slides are read the information is not that difficult to understand. The class gets boring sometimes but it is not that difficult.","0.228799961719087","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","2.0","3.0","IS310","exams are short answer questions are from a list, easy ish class but ben stein is more interesting than him","0.47316066568649","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","2.0","2.0","IFSM310","Boring, very basic for a 300-level class (if you can't grok this stuff you shouldn't be an IFSM major). Exams not especially difficulty, but you must go to class -- absences can/will drop your grade.","0.347892340770518","neg","","","","","","","","","","","","","","","","","","","","","",""
"Green, Frank","3.0","3.0","IS310","This class is weird. Lots of technical stuff, unapplicable to anything, except for the geeks, they were in heaven. Mr Green is fair. Read the book before class and score 3 xtra credit points, they'll come in handy. Aim to score better than the rest of the class everyexam 2 get an A. It worked for me","0.333475178984122","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","4.0","4.0","CMSC621","Very knowledgeable professor and good adviser. Discusses the math and logic behind all algorithms and methods discussed in class. Lectures may be heavy for most, you really need to be attentive and not zone out.","0.476759337837255","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","3.5","5.0","CSMC621","So here's the thing -- he's an amusing lecturer, and I did learn useful information from this class. That's a win. This is UMBC we are talking about here, I don't think you can ask for much more. The class is insanely tough. But he does EPIC CURVES (60%+ avg seemed to be an A). But you will not have any clue what your grade is until the end.","0.466288684718502","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","1.0","5.0","CMSC441","Easily the worst professor I have had in my entire college career. First exam average was 27%. Learned nothing the entire semester. I ended up with a C with a final score of 31%. Highest grade in class was 65%. I would have avoided, but it was the only section offered this semester which was my last. Plan ahead to take this with someone else.","0.122015943635268","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","2.0","5.0","CMSC441","First, I'm a Math/CMSC major. Kalpakis is extremely difficult, in part because his proofs for are not rigorous at all. The other part is that the hws and exams expect different skills from you, so don't look to the hw to study. The exams have no partial credit; writing an alg gets no points if you don't answer the accompanied questions.","0.377579823711441","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","1.0","5.0","CMSC461","He doesn't care about his course. He acts as if he cares, but the TA shoulders the entire thing. TA decides on the project specifications, deadlines. TA makes the questions for the exams. You ask him something, he says he has to ask the TA. Final exam had the exam same q's as the midterm so remember the midterm! Happily, grades very easy.","0.301326520442479","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","3.0","5.0","CMSC461","An entertaining lecturer and knows the material well. Exams are very hard. Homeworks are from the book, so if you read the book theoretically you should do fine on those. The semester project wasn't terribly involved, but extremely tedious. He said he would make changes for future semesters. Definitely expects students to read the book.","0.440966213319228","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","4.5","4.0","CMSC421","Projects were difficult but very feasable if you allowed the necessary time. The tests however were very hard but come from the book, which he expects you to fully read and remember the assigned chapters. Most hw comes from the book and answers can be found in the previous edition solution manual","0.489352235807887","neg","","","","","","","","","","","","","","","","","","","","","",""
"Kalpakis, Konstantinos","3.5","4.0","CMSC421","His lectures were interesting, and he is very smart. I enjoyed operating systems up until I got my final grade. The TAs didn't grade half of my projects and homework(even though he promised we would see all of our grades before the final) so I got a C in the class. I emailed him several times to see if I could get a regrade. He he responded after a","0.282496437881045","neg","","","","","","","","","","","","","","","","","","","","","",""
"Katz, Henry","1.5","3.0","CMSC313","Class isn't all that hard, but Katz is a poor teacher. Just writes on the chalk board and expects you to follow along. His answers to questions are often vague and sometimes he doesn't really answer you","0.292817213823219","neg","","","","","","","","","","","","","","","","","","","","","",""
"Katz, Henry","1.0","5.0","CMSC313","Horrible handwriting, lectures on blackboard, no Power Point, is deaf, doesn’t follow textbook, and forgets to write down grades. He is drier than a bad yeast infection.","0.0703526660875036","neg","","","","","","","","","","","","","","","","","","","","","",""
"Katz, Henry","2.5","3.0","CMSC104","Katz works with you if you work with him. True he does have trouble hearing and his midterm was the worst, but its like 15% of your grade. He mostly looks at projects and homework as well as the final. I printed out all his slides from the lecture. That and the comp sci help desk helped me to pass.","0.246653801092424","neg","","","","","","","","","","","","","","","","","","","","","",""
"Katz, Henry","1.5","5.0","CMSC313","Nice guy, lousy teacher. Mostly deaf so comunication with him is very difficult. All notes were handwritten on chalkboard in chicken scratch. Could not read them. Ask questions of him at your own peril. Having Burt as co-teacher only made things worse.","0.308407723389943","neg","","","","","","","","","","","","","","","","","","","","","",""
"Katz, Henry","1.0","4.0","CMSC100","Worst teacher I have ever had in my life. He gives hard tests for an easy class, The average scores for the tests are low c's or high d's. He is also deaf. The directions for the projects are unclear. I think I know excel better than him.","0.447096052232448","neg","","","","","","","","","","","","","","","","","","","","","",""
"Katz, Henry","1.0","4.0","CMSC104","Again, nice guy, HORRIBLE teacher. Waste of time coming to class, I did the same just reading the slides at home. Does not give back graded projects in time to learn from your mistakes. Avoid - if at all possible.","0.153260844097076","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","5.0","3.0","CMSC341","341 is tough no matter what, but Lupoli made it bearable. May seem harsh sometimes, but that's just his sense of humor. Don't be afraid to go to his office hours if you don't understand something - he's actually really nice and helpful. Projects are time consuming, but not too bad if you pay attention in class and use Piazza.","0.369152246787852","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","1.0","4.0","CMSC341","Very unclear assignments that did not match the material we were being taught.","0.364685803468852","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","3.5","3.0","CMSC341","Good guy. I've had him for 3 classes. You'll have to do work, but nothing too difficult. He makes mistakes and sometimes his TAs mess up but I still recommend taking a class with him. Makes jokes; don't take it personally. What I've gained from his classes has helped me land a solid internship.","0.325960182126406","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","4.0","4.0","CMSC331","Lupoli is a tough teacher that can come off as a bit rude but he actually cares about the material and structures his classes so that you LEARN. I have landed a great internship based solely off of the database material he taught in CMSC 331 and have done well on interviews because of the material he covered in CMSC 341. I would take his class.","0.490002765782012","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","3.5","5.0","CMSC331","331 with Lupoli is very, very hard. The in-class labs are hard to complete, and a great portion of the grade hinges on it. The project during my semester was to develop a webstite for advising scheduling using php and html, which we were expected to learn on our own. Very stressful semester, barely got a B. 331 is supposed to be easier imo.","0.399661205383276","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","3.0","3.0","CMSC331","Lupoli clearly is interested in and understands the course material, but sometimes has trouble conveying it to students. His lectures were pretty entertaining, but projects were a nightmare- the descriptions would change while we were supposed to be working on them, because students had to point out that requirements did not make sense.","0.281191776411503","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","2.0","5.0","CMSC341","He was Rude. The lectures are helpful but he doesn't even go over the slides and expects you to know them already. Doesn't respond to emails. His TA's were really helpful and nice. Some people find him funny but I thought he was really rude and he liked insulting people a lot. Gets really angry if you're even a second late to class.","0.163707139112156","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","1.0","4.0","CMSC201","His notes are worthless, he talks to you as if you are a window licking mouth breather; very condescending. 2 exams, 2 projects. If you really want to learn basics of coding, take it with some one more competent and professional.","0.377471207619504","neg","","","","","","","","","","","","","","","","","","","","","",""
"Lupoli, Shawn","1.5","5.0","CMSC201","Hard class. His notes were not easy to read... However I did have very minimal programming knowledge. The only students that knew seemed to know what was going on were the students who were experienced.","0.223650583365378","neg","","","","","","","","","","","","","","","","","","","","","",""
"Oates, Tim","5.0","3.0","CMSC671","Dr. Oates has the potential to be a mainstream science communicator in this field. He's like a lighthouse in the sea of professor mediocrity that is UMBC. As a lecturer he is MOOC or elite university material. Would recommend this class but expect to work very hard especially if you don't have a background in probability theory. Worth it though.","0.442702964887096","neg","","","","","","","","","","","","","","","","","","","","","",""
"Oates, Tim","5.0","2.0","CMSC341","Very good teacher. Heard a lot of complaints from the students taking Bergernon in the other section but none of the problems were in his class. He explained all the projects very clearly and was always helpful. He explained all the information needed very clearly too and we even moved faster than the other classes by a lot. A+","0.336323994777471","neg","","","","","","","","","","","","","","","","","","","","","",""
"Oates, Tim","5.0","2.0","CMSC799","I'm really glad I picked him for my Master's Thesis. He is incredibly easy to get along with, patient, and helpful. Robotics is probably the coolest area in CS, and I couldn't imagine picking a better professor for the task.","0.418847087030772","neg","","","","","","","","","","","","","","","","","","","","","",""
"Park, John","5.0","4.0","CMSC313","John Park is the best professor in the CMSC program. His 313 class is much harder than other sections (we had 7 projects to another section's 2) but you learn so much more. I am taking 411 this semester and it is all pretty much review for the first half of the class thanks to Park. His tests and projects are tough, don't skip class!","0.469962587715578","neg","","","","","","","","","","","","","","","","","","","","","",""
"Park, John","3.5","2.0","CMSC202","Park is one of the best professors I have ever met in UMBC. Although it's super difficult to not fall asleep during his lectures, he's extremely helpful during office hours. DON'T expect to get any of your grades back. I have received my final grade for the class, but I still haven't heard a word about my project gr","0.309644980588434","neg","","","","","","","","","","","","","","","","","","","","","",""
"Park, John","3.0","4.0","CMSC421","Super smart guy, but unavailable for office hours most of the time. Projects are impossibly hard. Grades extremely slow so you won't know if you have a A or if you fail. Read the book for exams.","0.285303731463135","neg","","","","","","","","","","","","","","","","","","","","","",""
"Park, John","4.0","3.0","CMSC461","RIght guy for OS class. Park or his graders grade slowly, so you'll never know how you're doing in class. Park won't fail you as long as you try. He's a really smart dude and believes in us a little too much so last project could be rough if he doesn't dumb it down enough. Helps a lot outside of class with extra lectures.","0.226737246835505","neg","","","","","","","","","","","","","","","","","","","","","",""
"Park, John","4.5","1.0","CMSC201","Excellent instructor, lectures were very clear and concise. Very helpful if you go to him. Unfortunately, little to no use of the textbook, and takes some time to get grades back on regular assignments/projects.","0.460628455393327","neg","","","","","","","","","","","","","","","","","","","","","",""
"Raouf, Sa'Ad","3.0","2.0","CMSC202","I gave up lecture after 3 weeks and just attended them every so often, and when in class, surfed the web, and still got an A (no prior knowledge of C++ even). Bad to go to for questions but the book/online slides/labs got me through it easily. His exams are hard if you don't study (me) but I don't feel that you need to attend class ever to do well.","0.298427465417034","neg","","","","","","","","","","","","","","","","","","","","","",""
"Raouf, Sa'Ad","1.5","4.0","CMSC202","Impossible exams take class with someone else","0.262270923677191","neg","","","","","","","","","","","","","","","","","","","","","",""
